name	species	breed	breedIndividual	gender	age	size	headType	stimOnOff	duration
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	365
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	222
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	115
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	1726
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	656
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	3102
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	4945
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	1535
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	107
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	6485
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	off	NA
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	917
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	1072
dog1	dog	Rhodesian Ridgeback	Rhodesian Ridgeback 1	m	6	L	Mesocephalic	on	237
